Length;Quick;Heap;Insertion;Bubble
10;22;41;45;41
20;86;118;190;121
30;120;199;435;211
40;179;303;780;321
50;249;418;1225;434
60;323;523;1770;546
70;399;627;2415;674
80;454;768;3160;809
90;579;899;4005;946
100;589;1032;4950;1081
110;843;1155;5995;1214
120;768;1293;7140;1350
130;997;1426;8385;1490
140;944;1575;9730;1645
150;990;1703;11175;1802
160;1065;1852;12720;1956
170;1294;1988;14365;2113
180;1420;2138;16110;2268
190;1886;2321;17955;2423
200;1460;2466;19900;2587
210;1595;2586;21945;2741
220;1666;2755;24090;2895
230;2047;2907;26335;3048
240;2210;3048;28680;3207
250;2385;3227;31125;3363
260;2146;3363;33670;3529
270;2417;3519;36315;3703
280;2331;3694;39060;3873
290;2486;3874;41905;4059
300;2641;4012;44850;4232
310;2508;4216;47895;4406
320;2829;4372;51040;4578
330;3001;4561;54285;4754
340;2925;4672;57630;4939
350;3108;4875;61075;5112
360;3158;5017;64620;5280
370;3595;5211;68265;5464
380;3655;5377;72010;5639
390;3488;5555;75855;5812
400;3558;5709;79800;5984
410;3471;5915;83845;6169
420;3644;6048;87990;6344
430;4041;6197;92235;6518
440;3603;6383;96580;6692
450;4218;6545;101025;6874
460;4469;6726;105570;7045
470;4582;6917;110215;7222
480;4598;7085;114960;7400
490;4419;7200;119805;7577
500;4834;7433;124750;7756
510;5235;7597;129795;7929
520;5414;7788;134940;8118
530;4771;7942;140185;8316
540;5626;8188;145530;8520
550;4861;8319;150975;8717
560;5242;8491;156520;8910
570;5840;8730;162165;9104
580;5667;8896;167910;9304
590;5756;9080;173755;9507
600;5582;9282;179700;9693
610;6739;9471;185745;9893
620;5741;9585;191890;10104
630;6251;9811;198135;10296
640;6263;9994;204480;10488
650;6714;10160;210925;10686
660;6256;10371;217470;10888
670;7982;10592;224115;11083
680;6846;10755;230860;11276
690;6842;10950;237705;11467
700;7020;11105;244650;11674
710;7850;11364;251695;11872
720;7488;11484;258840;12064
730;8694;11694;266085;12266
740;7495;11842;273430;12460
750;7787;12043;280875;12657
760;8311;12233;288420;12857
770;8189;12421;296065;13050
780;8164;12660;303810;13250
790;9214;12805;311655;13454
800;8655;13038;319600;13639
810;7984;13213;327645;13832
820;8097;13365;335790;14033
830;10024;13568;344035;14231
840;8606;13778;352380;14422
850;8980;13963;360825;14624
860;9977;14095;369370;14824
870;9692;14307;378015;15027
880;9089;14546;386760;15220
890;9531;14741;395605;15406
900;9356;14979;404550;15609
910;10203;15143;413595;15812
920;11487;15289;422740;16001
930;10913;15520;431985;16199
940;10149;15650;441330;16399
950;10248;15896;450775;16599
960;11952;16099;460320;16796
970;10029;16299;469965;16993
980;10349;16459;479710;17192
990;10595;16649;489555;17387
1000;10497;16849;499500;17583
